"id","name","titleForDB","titleForList","titleForCSV","titleForForm","dataType","orderDisplay","orderSort","displayInSimpleList","displayInFullList","isFormField","created_at","updated_at"
1,"done","tasks.done","","Done",,"boolean",0,,"t","t","f",,
2,"title","tasks.title","Title","Title","title","string",1,2,"t","t","t",,
3,"priority","tasks.priority","P","Priority","priority","integer",2,0,"f","t","t",,
4,"category","categories.title","Category","Category","category_id","string",3,1,"f","t","t",,
5,"created_at","tasks.created_at","Created","Created",,"datetime",4,,"f","t","f",,
6,"updated","tasks.updated",,"Updated",,"datetime",,,"f","f","f",,
7,"start","tasks.start","Start","Start","start","date",5,,"f","t","t",,
8,"due","tasks.due","Due","Due","due","date",6,,"f","t","t",,
9,"underway","tasks.underway","Underway","Underway","underway","boolean",7,,"f","t","t",,
10,"blocked","tasks.blocked","Blocked","Blocked","blocked","boolean",8,,"f","t","t",,
11,"location","tasks.location","Location","Location","location","string",9,,"f","t","t",,
12,"frequency","tasks.frequency","Frequency","Frequency","frequency","integer",10,,"f","t","t",,
13,"dependee","tasks.dependee","Dependee","Dependee","dependee","string",11,,"f","t","t",,
14,"status",,"Status","Status",,"string",12,,"t","t","f",,
15,"deleted","tasks.deleted","","Deleted",,"boolean",13,,"t","t","f",,
16,"list_id","tasks.list_id",,"List ID","list_id","integer",,,"f","f","f",,
