Title,Category,Priority,Created,Updated,Start,Due,Underway,Blocked,Location,Frequency,Dependee,Done,Deleted
Receive payment for dinner from Steve,Finance,3,,,,,,TRUE,Online,,Steve,,
Check up on grandma,Family,2,,,,2014-07-16,,,Home,,,,
Study for math exam,School,1,,,,,TRUE,,Library,,,,
Clean the vacuum filter,Home,2,,,,2014-07-01,,,Home,,,,
Backup my computer,Home,2,,,,,,,Home,Weekly,,,
Practice juggling,Fun,3,,,,,TRUE,,Home,Weekly,,,
Workout,Health,1,,,,,,,Gym,Weekly,,,
Write a journal entry,Home,2,,,,,,,Home,Daily,,,
Get a haircut,Health,1,,,,,,,Salon,,,TRUE,
Register for new classes,School,2,,,2014-07-15,2014-07-15,,,Online,,,,
Clean the rabbit cage,Home,3,,,,,,,,,,,TRUE
